headline,summary,ServerProblem
"It's double-edged sword, risky to be part of it: Ram on #MeToo","Speaking about the #MeToo movement, actor Ram Kapoor said, ""It's a double-edged sword, it's so risky and dangerous to be part of the...movement."" ""[It's] a very powerful weapon that women have today,"" he added. Ram further said that while many women who participated in the movement have suffered at the hands of abusive men, some women have misused the movement.",
Rahul Gandhi got MPhil without Masters degree: Arun Jaitley in blog,"After Congress accused Smriti Irani of 'falsifying her educational records', Finance Minister Arun Jaitley wrote in his blog that Rahul Gandhi attained an MPhil without a Masters degree. ""One day the focus would be on the BJP candidate's educational qualification, fully forgetting that a public audit of Rahul Gandhi's academic credentials may leave a lot to be answered,"" Jaitley wrote.",
Rahul's helicopter denied permission to land in West Bengal,"Congress President Rahul Gandhi's helicopter was denied permission to land in West Bengal's Siliguri police ground, where he is scheduled to address a public meeting on Sunday. The police cited lack of space as the reason for denying the permission. Meanwhile, Congress candidate from Darjeeling Sankar Malakar accused the TMC-led West Bengal government of sabotaging Rahul's rally.",
Prashant Kishor proposed to merge JD(U) and RJD: Rabri Devi,"Former Bihar CM Rabri Devi on Friday claimed that poll strategist-turned-politician Prashant Kishor had met her husband Lalu Prasad Yadav with a proposal to merge RJD and JD(U). Kishor had said that the new entity formed should declare its PM candidate, she added. This comes after Kishor denied having met Yadav with the proposal to re-inducted JD(U) into grand alliance.",
Ex-Army chief denies writing to Prez over politics on Army ops ,"A letter signed by over 150 Army veterans, including eight defence chiefs, was sent to President Ram Nath Kovind, asking him to take steps for stopping politicisation of military operations by political parties. However, former Army chief General SF Rodrigues and former Indian Air Force chief NC Suri denied giving their consent for sending the letter to the President.  ",
A shameful act: UK envoy on 100 years of Jallianwala Bagh massacre,"British High Commissioner to India Dominic Asquith on Saturday visited the Jallianwala Bagh National Memorial in Amritsar and paid tribute to those martyred by British forces. ""The events of Jallianwala Bagh 100 years ago today reflect a shameful act in British-Indian history. We deeply regret what happened and the suffering caused,"" Asquith wrote in the visitors' book at the memorial. ",
"Pet dog saves 30 people by alerting them of fire, dies in blast ","After a fire broke out in a building in Uttar Pradesh's Banda on Friday, a pet dog saved the lives of more than 30 people by constantly barking and alerting them. However, the dog later died in a cylinder blast as it was tied up, eyewitnesses said. Meanwhile, an official said a short circuit in basement led to the fire.",
"Woman files for divorce as husband refuses to shave, bathe for days","A 23-year-old woman from Madhya Pradesh has filed for divorce, claiming her 25-year-old husband doesn't shave and shower for 7-8 days at a stretch. She complained her husband stinks and on being asked to bathe, he wears perfume to beat the odour, a counsellor said. They've been asked to stay separately for six months, after which they'd be granted divorce.",
Journo defied censorship to expose Jallianwala Bagh massacre in 1919,British journalist and The Bombay Chronicle's editor Benjamin Guy Horniman defied press censorship rules set by General Michael O'Dwyer in Punjab and published an article to expose Jallianwala Bagh massacre in April 1919. Horniman also wrote an article on it and was deported. He later smuggled pictures of the massacre and its aftermath and wrote about it in British publication.,
ICC rejects request to investigate US war crimes in Afghanistan,"The International Criminal Court (ICC) has rejected its prosecutor Fatou Bensouda's request to investigate US forces for possible war crimes in Afghanistan. The decision noted that the prosecutor hasn't been able to secure cooperation from the parties, making it very unlikely the probe would succeed. Earlier, US revoked Bensouda's visa in response to her request to investigate the war crimes.",
